dsp clock from the systime interface: 546045534479
sequence_number, timestamp(us), updated_timestamp(us), acc_x, acc_y, acc_z, ang_x, ang_y, ang_z, temperature_C
258249, 541615561, 546578678, -0.05, 0.46, 0.05, 0.08, 0.14, 0.06, 42.25
258250, 541617575, 546580692, 0.04, 0.29, 0.24, 0.03, 0.05, 0.01, 42.28
258251, 541619559, 546582676, -0.07, -0.01, 0.89, 0.02, -0.12, -0.05, 42.27
258252, 541621573, 546584690, 0.12, -0.36, 1.43, -0.02, -0.15, -0.08, 42.22
258253, 541623588, 546586705, 0.24, -0.21, 1.90, 0.04, -0.10, -0.06, 42.25
258254, 541625571, 546588688, -0.10, -0.24, 1.28, 0.11, -0.04, 0.02, 42.20
258255, 541627586, 546590703, 0.08, 0.27, 1.38, 0.20, 0.02, 0.07, 42.24
258256, 541629570, 546592687, -0.19, 0.51, 0.05, 0.06, 0.12, 0.06, 42.21
258257, 541631584, 546594701, 0.10, 0.27, -0.01, 0.04, -0.01, 0.00, 42.23
258258, 541633568, 546596685, 0.41, -0.22, 2.24, -0.03, -0.27, -0.08, 42.23
